profile_id,lat,lon,date,day_of_year,sst,t_0,t_5,t_10,t_20,t_30,t_50,t_75,t_100,t_125,t_150,t_200,t_300,t_500,t_700,t_1000
5907084_058,19.65,64.2167,2025-05-02,122,29.88,,30.146,30.101,29.71,29.507,29.115,27.269,25.162,24.226,23.766,19.825,15.43,13.023,11.495,9.117
1902672_058,17.4333,70.75,2025-05-02,122,30.19,,30.265,30.227,30.115,29.829,28.431,26.987,24.886,22.907,20.427,17.284,14.182,12.467,11.097,8.532
2903138_089,6.9731,67.4842,2025-05-02,122,30.87,,31.185,31.132,31.004,30.794,29.399,27.31,23.163,20.868,17.695,14.782,12.525,10.73,8.846,7.261
2902272_220,19.3438,60.1336,2025-05-02,122,29.77,,29.509,29.475,29.462,28.278,24.647,23.868,23.185,21.396,20.241,18.018,15.588,12.755,11.4,9.003
1902751_011,20.0016,59.8188,2025-05-02,122,29.46,,29.325,29.277,29.261,28.489,24.731,24.273,24.053,22.337,20.977,19.0,16.005,13.293,11.522,9.127
5907141_015,25.1497,60.0872,2025-05-02,122,29.29,,29.208,28.931,25.148,24.442,24.083,23.794,23.683,23.399,22.068,20.94,,,,
2902766_197,14.516,87.447,2025-05-02,122,30.51,,30.776,30.745,30.02,29.145,28.424,27.566,25.334,21.591,18.701,14.218,11.6,9.836,8.361,6.4
2902770_190,11.912,90.354,2025-05-02,122,30.2,,30.507,30.502,30.13,29.634,29.119,28.039,24.397,20.465,16.912,13.653,11.541,9.909,8.636,6.816
2902772_190,15.451,84.616,2025-05-02,122,30.24,,31.021,30.983,30.895,30.785,29.918,28.689,27.404,22.762,19.945,15.977,12.557,10.393,8.837,7.031
2902768_191,13.36,84.384,2025-05-02,122,30.61,,30.949,30.965,30.893,30.737,30.003,28.93,25.86,22.041,20.055,16.515,12.439,10.39,8.933,6.924
3902657_009,20.8095,60.8382,2025-05-01,121,29.31,,28.957,28.963,28.969,27.939,25.587,24.031,22.655,21.514,20.335,19.061,,,,
2903140_089,7.0618,66.1346,2025-05-01,121,30.89,,31.217,30.86,30.895,30.692,29.045,26.488,24.301,20.33,17.634,14.332,12.295,10.81,9.403,7.295
2902306_037,20.9327,62.8802,2025-05-01,121,29.39,,29.262,29.269,29.237,28.408,24.983,24.601,24.004,22.611,20.768,19.104,16.649,13.3,11.564,9.209
2903956_009,23.4565,60.6147,2025-05-01,121,29.04,,27.643,27.634,26.677,24.711,24.384,24.051,23.674,22.701,20.616,19.311,17.194,13.352,11.54,9.22
1902734_004,19.8487,61.1553,2025-05-01,121,29.79,,29.509,29.515,29.506,28.916,25.402,24.08,23.746,22.411,20.751,18.797,16.207,13.424,11.732,9.312
1902669_060,14.4333,86.2333,2025-05-01,121,30.21,,30.55,30.41,29.864,29.46,28.886,27.791,25.588,22.46,19.579,15.017,11.814,9.908,8.425,6.607
4903775_060,14.2333,91.3167,2025-05-01,121,29.98,,30.258,30.112,29.699,29.118,28.093,26.769,22.537,19.36,16.701,13.702,11.672,9.828,8.402,6.734
5907083_060,11.7667,86.2,2025-05-01,121,30.31,,30.6,30.555,30.308,29.998,29.097,27.033,23.229,20.013,17.788,14.74,11.819,9.917,8.511,6.536
1902671_058,17.5667,69.15,2025-05-01,121,30.59,,30.242,30.152,29.995,29.425,27.423,25.004,23.881,20.935,19.461,16.18,14.116,12.496,10.941,8.71
6903140_342,22.2348,62.7442,2025-05-01,121,29.28,,29.071,29.079,28.964,28.355,25.843,23.928,23.682,23.02,21.9,19.491,16.654,13.126,11.528,9.176
6903138_346,11.257,56.738,2025-05-01,121,30.78,,30.603,30.34,29.574,28.623,26.034,25.379,24.428,20.592,17.574,16.106,13.829,11.614,11.053,8.191
6903141_342,23.1067,60.6804,2025-05-01,121,28.48,,28.644,27.514,25.525,24.715,24.234,23.868,23.569,21.836,20.641,19.435,17.092,13.246,11.345,8.873
1901897_254,17.4914,61.4191,2025-05-01,121,29.9,,,,,29.138,26.351,24.703,24.278,22.995,21.099,18.703,16.397,13.259,11.48,9.365
2903137_089,10.0161,52.7271,2025-05-01,121,30.56,,30.451,30.424,30.341,29.541,26.549,25.604,23.779,20.191,18.361,15.653,13.342,11.852,10.46,8.192
6903139_346,13.0036,47.6089,2025-05-01,121,28.47,,29.116,29.088,28.56,26.673,24.507,23.715,22.024,20.427,19.328,16.891,14.857,14.092,13.43,11.323
5907086_039,5.6468,87.7989,2025-05-01,121,30.02,,30.438,30.326,30.054,30.015,29.843,27.43,22.431,18.171,15.869,13.676,11.67,10.085,8.578,6.796
1902660_013,20.9257,59.5743,2025-05-01,121,28.02,,27.801,27.753,27.722,26.344,24.438,24.18,23.719,22.03,20.378,19.389,16.38,13.129,11.294,8.907
6990715_006,9.5833,67.55,2025-05-01,121,30.5,,30.671,30.662,30.393,29.784,28.604,27.254,26.395,22.701,20.936,17.067,13.42,10.865,9.773,8.059
6990700_005,23.3514,59.0736,2025-04-30,120,30.53,,30.031,29.604,27.994,25.786,24.191,23.546,23.09,21.688,21.0,19.553,17.197,13.25,11.321,9.089
1902757_007,22.3351,60.7209,2025-04-30,120,28.74,,28.506,28.504,28.105,25.965,24.223,23.906,23.71,23.528,21.981,19.512,,,,
2903956_008,23.2413,60.6966,2025-04-30,120,28.68,,27.595,27.587,26.875,25.57,24.497,24.107,23.658,22.455,21.037,19.678,17.639,13.607,11.657,
2903955_013,24.0059,58.7461,2025-04-30,120,30.06,,29.767,29.056,27.903,25.282,23.861,23.719,23.639,23.558,22.754,21.592,18.711,13.582,11.669,9.035
4903839_014,24.593,58.8459,2025-04-30,120,30.33,,29.324,28.273,26.702,25.194,23.992,23.8,23.684,23.584,23.171,21.173,19.639,13.992,11.736,9.305
5907082_060,18.45,85.6333,2025-04-30,120,29.83,,30.384,30.316,30.364,30.342,29.251,27.957,23.685,20.648,18.486,15.232,12.201,10.787,9.211,7.162
2902203_335,16.008,64.411,2025-04-30,120,30.39,,30.268,30.073,29.488,28.852,25.697,24.532,22.045,18.42,17.743,16.2,14.541,12.357,10.942,8.593
1902751_010,19.9736,59.8561,2025-04-30,120,29.46,,29.418,29.264,29.238,28.533,24.934,24.241,23.932,22.289,20.801,19.597,16.496,13.259,11.449,9.022
5907141_014,25.088,60.1669,2025-04-30,120,29.18,,28.661,28.52,25.299,24.402,23.812,23.667,23.564,23.157,21.79,20.581,16.901,13.288,,
3902669_007,19.6167,64.35,2025-04-30,120,29.93,29.636,29.64,29.63,29.346,29.005,27.855,25.981,24.409,23.829,23.193,20.059,15.616,13.183,11.471,9.167
2903956_007,22.9935,60.7191,2025-04-29,119,28.55,,28.315,28.3,27.201,25.465,24.354,23.924,23.628,22.891,21.499,19.6,17.587,13.591,11.638,
2903989_008,15.9833,87.0833,2025-04-29,119,29.97,,30.334,30.318,30.163,29.859,28.701,27.755,27.067,24.072,20.774,16.172,12.29,10.291,8.712,6.781
5907085_056,8.6333,69.6,2025-04-29,119,30.78,,30.486,30.445,30.129,29.548,28.111,26.888,24.369,21.528,18.415,15.084,12.433,11.194,9.598,7.282
1902660_012,20.775,59.5575,2025-04-29,119,28.48,,28.648,28.523,28.405,26.552,24.571,24.207,23.792,21.919,20.451,19.387,16.804,13.196,11.492,9.061
2902201_335,18.833,58.981,2025-04-29,119,29.35,,29.115,28.963,28.151,26.465,24.205,24.003,23.26,20.942,20.068,18.506,15.711,12.835,11.29,9.106
6990700_004,23.4392,59.1029,2025-04-29,119,30.51,,29.957,29.054,26.479,25.339,23.818,23.457,22.86,21.469,20.549,19.425,17.023,13.267,11.373,8.95
6903140_341,22.3005,62.9952,2025-04-29,119,29.24,,29.231,28.948,28.817,27.905,25.129,23.986,23.502,22.832,21.195,19.237,16.505,13.056,11.481,9.339
6903139_345,12.7516,47.5628,2025-04-29,119,28.37,,29.266,29.214,29.105,26.819,25.081,24.205,22.766,20.66,18.999,16.535,14.491,14.271,13.299,11.033
6903141_341,22.7923,60.3413,2025-04-29,119,28.59,,28.479,28.08,27.612,25.397,23.758,23.232,21.704,19.996,19.546,18.498,15.787,13.316,11.476,9.092
6903138_345,11.0882,56.7252,2025-04-29,119,31.01,,30.699,30.709,30.363,28.668,25.922,25.276,23.483,20.754,17.621,15.916,13.585,11.985,11.087,8.383
6990514_094,17.1856,64.9547,2025-04-29,119,30.15,,29.939,29.915,29.968,29.308,27.828,25.376,23.455,22.315,20.725,18.264,14.982,12.938,11.104,8.971
4903660_094,15.7227,59.7895,2025-04-29,119,30.2,,29.774,29.719,29.024,28.722,26.358,25.252,24.494,22.491,20.622,18.998,14.939,13.044,11.264,8.979
